species,freq_khz,mean_TS,se_TS
LT,45,-55.94331973712582,0.046350288135201784
LT,45.5,-55.86038203487565,0.04604871687419333
LT,46,-55.70650449381304,0.04559703611825131
LT,46.5,-55.34974647845796,0.04535609067260892
LT,47,-55.33106926634541,0.04476864288637385
LT,47.5,-55.15697765557235,0.0446161882278301
LT,48,-55.11113525372647,0.044172027305644554
LT,48.5,-54.93570611671499,0.04411442557170312
LT,49,-54.698339721974925,0.044204220756117324
LT,49.5,-54.38523832217095,0.04428723234634746
LT,50,-53.97838087201372,0.04398989081212643
LT,50.5,-53.66094639151387,0.043463724295819656
LT,51,-53.34655979278801,0.043164720371531816
LT,51.5,-53.18468489545473,0.042993596629676945
LT,52,-53.06542328880631,0.043291163282980674
LT,52.5,-52.97699544468494,0.04383265389669536
LT,53,-52.9272583626414,0.04508614141060835
LT,53.5,-52.89560473357292,0.04642437834854441
LT,54,-52.81568247637522,0.047310773922609
LT,54.5,-52.70666002487034,0.04656231235654718
LT,55,-52.570558958141056,0.045880750479885164
LT,55.5,-52.42720809192633,0.044904706163222244
LT,56,-52.27602436051782,0.04412405684078975
LT,56.5,-52.08903912018622,0.04390009660943667
LT,57,-51.879928250867806,0.04365944255366345
LT,57.5,-51.68966706088945,0.043382219540114036
LT,58,-51.526843391636376,0.04346624145914569
LT,58.5,-51.42242118017724,0.04349788608089446
LT,59,-51.27802127189938,0.04346978558323537
LT,59.5,-51.124732768530244,0.043967753114207836
LT,60,-50.98656907359007,0.044574607982187674
LT,60.5,-50.78905169179565,0.044704676761988395
LT,61,-50.64721383693389,0.04490306950620705
LT,61.5,-50.527217376853024,0.04533096731640631
LT,62,-50.36570355037367,0.04553986050728907
LT,62.5,-50.18950100653408,0.04521674251686289
LT,63,-50.00157689880345,0.04525104430240533
LT,63.5,-49.82952604238984,0.04544160259260957
LT,64,-49.69023018066729,0.045763824657602765
LT,64.5,-49.48422687009434,0.04543646059987607
LT,65,-49.253760420794706,0.04384526568183671
LT,65.5,-49.10952690198881,0.04276753255564643
LT,66,-48.980316027361454,0.04189272973112521
LT,66.5,-48.89291929338016,0.0415626965575157
LT,67,-48.78877748384857,0.041346152073624264
LT,67.5,-48.6267196104872,0.041353023426774806
LT,68,-48.45163245179074,0.04138813132041466
LT,68.5,-48.22998365593989,0.04121849180428713
LT,69,-48.04694452068445,0.041440104387933004
LT,69.5,-47.94363956274758,0.04221765774003033
LT,70,-47.89438462821089,0.04293322835850374
LT,70.5,-47.87949723285825,0.04344241389567886
LT,71,-47.84663044219382,0.04357881732549411
LT,71.5,-47.78892254673909,0.043578202731192534
LT,72,-47.68783678760158,0.04351065821001299
LT,72.5,-47.582996144198965,0.04358331483026746
LT,73,-47.48642911508147,0.043858426308957595
LT,73.5,-47.371688130273206,0.04415487225700329
LT,74,-47.2782702665496,0.044407075440510535
LT,74.5,-47.19373255511088,0.044532146595466254
LT,75,-47.13427381716829,0.04428389996219284
LT,75.5,-47.11670739498509,0.0441797893284916
LT,76,-47.04298369506269,0.04379071740079572
LT,76.5,-46.94185172042308,0.043438769160274456
LT,77,-46.80586865185609,0.043033777007251854
LT,77.5,-46.677296665781846,0.04255098994871704
LT,78,-46.59617216073835,0.04258826995518287
LT,78.5,-46.535823658063464,0.04274497932821279
LT,79,-46.48134056564708,0.04308711459249973
LT,79.5,-46.42369042643035,0.04383253838112968
LT,80,-46.288244812594435,0.043558494275008804
LT,80.5,-46.113369507412095,0.042949922847567885
LT,81,-45.94779387691428,0.042783715632232204
LT,81.5,-45.78853539184057,0.042571588628491655
LT,82,-45.58030349160779,0.04218049167069065
LT,82.5,-45.35348724657982,0.0417298012517407
LT,83,-45.079561580389594,0.04142116893273573
LT,83.5,-44.874082313227426,0.041910942886682706
LT,84,-44.68474357046596,0.04238509726498415
LT,84.5,-44.47465316494466,0.04255154679217177
LT,85,-44.313411030628494,0.04289281272367103
LT,85.5,-44.12963863462245,0.04308464205369972
LT,86,-43.919110474006615,0.04324511072734511
LT,86.5,-43.65120900673827,0.043495174690629836
LT,87,-43.31167952264467,0.04349292920917436
LT,87.5,-42.9839627366766,0.04345862542595055
LT,88,-42.809148084738844,0.04344427684275529
LT,88.5,-42.92594326487524,0.04351181360576959
LT,89,-43.30333913684812,0.04403356241814403
LT,89.5,-43.70900011985952,0.044284282599785924
LT,91,-45.63849226254747,0.04417415479143738
LT,91.5,-45.71135818781394,0.04372085740357185
LT,92,-45.903775685179895,0.043230844681833955
LT,92.5,-46.08790738093683,0.042703562990682155
LT,93,-46.209252560664844,0.042501654126541576
LT,93.5,-46.25797483354433,0.04251318555540047
LT,94,-46.26884300098011,0.042618325546973965
LT,94.5,-46.335717242577694,0.04296614456754989
LT,95,-46.49983853771389,0.04341430501883567
LT,95.5,-46.70599513186589,0.04322763219587065
LT,96,-46.94478662674072,0.04340931025431037
LT,96.5,-47.14412797676318,0.043712170385624846
LT,97,-47.251400530648915,0.04376126082101307
LT,97.5,-47.26977611900192,0.04391090278516132
LT,98,-47.18596552905623,0.04389146255776061
LT,98.5,-47.06152670612978,0.04383778812842895
LT,99,-47.0135264213256,0.04357904796501073
LT,99.5,-47.16675724449708,0.043891960254456894
LT,100,-47.405323118021805,0.04440589227514033
LT,100.5,-47.53670056903663,0.04406820978056381
LT,101,-47.604931785763874,0.04416192103245677
LT,101.5,-47.59645600792257,0.04360650390868481
LT,102,-47.62073935100257,0.04378761100732096
LT,102.5,-47.6494742558092,0.0437028881215085
LT,103,-47.70105945763058,0.044024115922067696
LT,103.5,-47.70932239976314,0.044269484844574755
LT,104,-47.67303268812023,0.04421326165616136
LT,104.5,-47.6918545550292,0.04398064140475017
LT,105,-47.801117721158164,0.04370544758224023
LT,105.5,-47.972068975088824,0.043995585113845284
LT,106,-48.03614772017805,0.04367269762453056
LT,106.5,-47.97441838751174,0.04383056558864358
LT,107,-47.798911249111775,0.04369058592270107
LT,107.5,-47.65065238898191,0.04367398075996724
LT,108,-47.62655224952015,0.04328438250948788
LT,108.5,-47.72745156127741,0.04357748317770064
LT,109,-47.796740491281085,0.04361377066709175
LT,109.5,-47.79332603115939,0.04356386813960698
LT,110,-47.731057425736104,0.04375395629253397
LT,110.5,-47.64805026352759,0.0437638339531167
LT,111,-47.6076324808674,0.044086943677069036
LT,111.5,-47.592841710540284,0.043928870227452274
LT,112,-47.5856243684404,0.04354451353677109
LT,112.5,-47.567162517049866,0.043288105401883645
LT,113,-47.49136129003144,0.04287306185676298
LT,113.5,-47.370789507003714,0.04254437101193201
LT,114,-47.247258154326786,0.04242212209792571
LT,114.5,-47.17286213680728,0.042473048203584836
LT,115,-47.17553129317597,0.042672802522537995
LT,115.5,-47.2521888504921,0.04290800544948356
LT,116,-47.32734777159309,0.04304824258204388
LT,116.5,-47.359491981092006,0.043285214763236275
LT,117,-47.34005899248581,0.04335507845132614
LT,117.5,-47.31987033209458,0.04328270142212976
LT,118,-47.3453279182015,0.04327263969386018
LT,118.5,-47.41210003728509,0.04337918707388268
LT,119,-47.48273064409687,0.043603610403548175
LT,119.5,-47.49815816086087,0.04350541085586566
LT,120,-47.467745327520724,0.04385218276594825
LT,120.5,-47.36403574468085,0.0437536692929557
LT,121,-47.22778095515988,0.04322529351720289
LT,121.5,-47.14920563793033,0.043197953346434496
LT,122,-47.08803061142647,0.042752595849245074
LT,122.5,-47.07224422236288,0.04257378758612801
LT,123,-47.03186443316862,0.042050316761139815
LT,123.5,-47.00449436309062,0.04233303930232857
LT,124,-46.905341943888594,0.04173991228298453
LT,124.5,-46.82056485126802,0.04204226470484287
LT,125,-46.71800237436191,0.04186739293210564
LT,125.5,-46.64364107763303,0.041751611778485194
LT,126,-46.60592268824274,0.04158076886498986
LT,126.5,-46.60208662653653,0.041454723190316706
LT,127,-46.58719947535427,0.04117442938391221
LT,127.5,-46.57729619994283,0.0409991499733385
LT,128,-46.57724267844162,0.04107279030375452
LT,128.5,-46.58638856462613,0.04124316332491835
LT,129,-46.58299777771879,0.04111525652635219
LT,129.5,-46.59813121027484,0.041195411866846415
LT,130,-46.65259670180095,0.04148563213023322
LT,130.5,-46.720422639032954,0.04169837592512671
LT,131,-46.77411183068567,0.04158073806050439
LT,131.5,-46.83532530906195,0.04184301845838888
LT,132,-46.86967324417038,0.04229951731836992
LT,132.5,-46.84063249115857,0.04207484061848844
LT,133,-46.80410261420346,0.04176876564411046
LT,133.5,-46.800356577326745,0.04196198830596852
LT,134,-46.78456566635357,0.04144954163817388
LT,134.5,-46.82907183685221,0.04147005415908722
LT,135,-46.87460484334545,0.04120645066078385
LT,135.5,-46.947025902968925,0.041439170539645964
LT,136,-47.030983974231226,0.04172528319421201
LT,136.5,-47.0871446931433,0.04186645029732995
LT,137,-47.120686042634865,0.041808171024417216
LT,137.5,-47.15952574423164,0.04223603058207723
LT,138,-47.16124456891412,0.04224575261087159
LT,138.5,-47.20137834013967,0.042370990643067596
LT,139,-47.26618554314534,0.04197460314599294
LT,139.5,-47.375976824805,0.0417925620815456
LT,140,-47.51233135900682,0.04179520944804333
LT,140.5,-47.630820572589535,0.04192775865444557
LT,141,-47.68199049058684,0.04178592867994252
LT,141.5,-47.68127480316086,0.0416601566058125
LT,142,-47.670032781067505,0.0415849712867962
LT,142.5,-47.70174106664761,0.04165191700291039
LT,143,-47.79505777089884,0.04184974290131903
LT,143.5,-47.93340614301466,0.041724192075497296
LT,144,-48.105720981745414,0.041652131000645846
LT,144.5,-48.25208535349369,0.0418126637293819
LT,145,-48.303724190999304,0.04154832292360561
LT,145.5,-48.329300390452076,0.04135358631081655
LT,146,-48.393447566259645,0.04151794940927909
LT,146.5,-48.50720010895577,0.0416072220209325
LT,147,-48.64092103218034,0.041668131351265264
LT,147.5,-48.75653832192592,0.0415036514449454
LT,148,-48.841185949156696,0.04146704893534372
LT,148.5,-48.8784507004533,0.0416716510313359
LT,149,-48.85829473287867,0.0416986484791048
LT,149.5,-48.80843054816842,0.04170285627772199
LT,150,-48.74644990717523,0.04148318071663786
LT,150.5,-48.722317327153185,0.04166789323562228
LT,151,-48.72418407840895,0.04166391953106009
LT,151.5,-48.75722378747907,0.04214909969575748
LT,152,-48.72822442655286,0.04221260973878076
LT,152.5,-48.591876270225015,0.04187775357682308
LT,153,-48.461538906235965,0.04205487585199702
LT,153.5,-48.4080960449218,0.042098085706987226
LT,154,-48.461261129905665,0.04213049137303362
LT,154.5,-48.506882160452484,0.04186663843425826
LT,155,-48.44515844742108,0.0415419658301567
LT,155.5,-48.26541159946094,0.041692721408439305
LT,156,-48.01505543892678,0.04161618357207032
LT,156.5,-47.79823973467554,0.04135252145342604
LT,157,-47.6934700488014,0.04158083544845324
LT,157.5,-47.6586067725732,0.041798869922536626
LT,158,-47.56745477931147,0.04142080680841844
LT,158.5,-47.44607852627925,0.04173831264282276
LT,159,-47.30035895585413,0.042192116075274524
LT,159.5,-47.131907534324334,0.042118923694764075
LT,160,-46.946454078980686,0.04217981425554864
LT,160.5,-46.71480486650059,0.042193625245809455
LT,161,-46.46942678053661,0.04271732309692753
LT,161.5,-46.18373024837669,0.042795843609340356
LT,162,-46.003829053252744,0.043081131592718126
LT,162.5,-45.961717685098215,0.043208784510440634
LT,163,-46.01186193139217,0.04358290653679904
LT,163.5,-46.01780204377833,0.04358442382272461
LT,164,-45.97323423379753,0.04363855201597839
LT,164.5,-45.86549228598848,0.04342851521501282
LT,165,-45.76180256274758,0.04346487237630563
LT,165.5,-45.67861668125944,0.0434343949073277
LT,166,-45.7015668899416,0.04382782731370502
LT,166.5,-45.8214474478703,0.043661323183667076
LT,167,-46.08788007167068,0.043315276721283894
LT,167.5,-46.542156152652424,0.044063351974754326
LT,168,-46.95331525466574,0.043777891715051843
LT,168.5,-47.3238498911259,0.04388210879046862
LT,169,-47.59190451451791,0.0443525048043442
LT,169.5,-47.713923070649734,0.044108497706565906
LT,170,-47.850360677992406,0.0439435885690928
SMB,45,-56.74737430934488,0.05722196536262076
SMB,45.5,-56.585332956461365,0.0572722877813605
SMB,46,-56.4189819906878,0.05728906977671657
SMB,46.5,-56.06488057327234,0.057040112470899074
SMB,47,-56.07581518215978,0.05682304262237079
SMB,47.5,-55.949016078826986,0.0569588477041664
SMB,48,-55.97770176694984,0.057385258991333496
SMB,48.5,-55.86127064368567,0.056715803856095696
SMB,49,-55.685751986440124,0.05634868473629624
SMB,49.5,-55.451485792190816,0.05573322448619462
SMB,50,-55.15730090369221,0.05524506305154694
SMB,50.5,-54.96791237551054,0.054743204860861705
SMB,51,-54.74381451756249,0.05354288351675791
SMB,51.5,-54.660419119506614,0.05327023189595221
SMB,52,-54.55842833090998,0.053238370269434766
SMB,52.5,-54.440691254533576,0.05340602118841153
SMB,53,-54.29829953594184,0.05379721580027705
SMB,53.5,-54.15486754190492,0.054180655936686056
SMB,54,-53.985666410880576,0.05449165206921712
SMB,54.5,-53.87817150040843,0.055020411453762
SMB,55,-53.719922440614276,0.05455086897290602
SMB,55.5,-53.59735748856396,0.05486870872953517
SMB,56,-53.45216801053749,0.05528048349108948
SMB,56.5,-53.25004540361052,0.055371610079466616
SMB,57,-53.02396459924849,0.05556225216858182
SMB,57.5,-52.80589571867342,0.055852291930285666
SMB,58,-52.541133281489955,0.055425720594684355
SMB,58.5,-52.34910884038556,0.055113198639706464
SMB,59,-52.127510393644826,0.05495300717104758
SMB,59.5,-51.8756250694331,0.05476299209078932
SMB,60,-51.62696082135272,0.05440546636757595
SMB,60.5,-51.373551464711646,0.05487324830390226
SMB,61,-51.180676754370204,0.05538304786118461
SMB,61.5,-50.97593458764908,0.0546436890580285
SMB,62,-50.77200418011763,0.0541269678186379
SMB,62.5,-50.62285177879431,0.053794602359096104
SMB,63,-50.47365443481457,0.053813749576728076
