qnum,freq_khz,mean_TS,se_TS,quintile
1,45,-61.1451595122807,0.5155125463989718,Q1 (lowest)
1,45.5,-60.97353714035088,0.5152609111200877,Q1 (lowest)
1,46,-60.67172189473684,0.48395498890420774,Q1 (lowest)
1,46.5,-60.15804537192982,0.4614864949484532,Q1 (lowest)
1,47,-60.118835150877196,0.45548514665734263,Q1 (lowest)
1,47.5,-59.96498154035088,0.4725704600788009,Q1 (lowest)
1,48,-59.895457028070176,0.48702729751243967,Q1 (lowest)
1,48.5,-59.744608084210526,0.4821839184137172,Q1 (lowest)
1,49,-59.42634660350877,0.4724564999009552,Q1 (lowest)
1,49.5,-59.19758538245614,0.46642514109126476,Q1 (lowest)
1,50,-58.94078628070175,0.4442993642404618,Q1 (lowest)
1,50.5,-58.66354652631579,0.4209059060778596,Q1 (lowest)
1,51,-58.332321154385966,0.4036479594031027,Q1 (lowest)
1,51.5,-58.03890281754386,0.3966439342158875,Q1 (lowest)
1,52,-57.895110252631575,0.4131043040584135,Q1 (lowest)
1,52.5,-57.80067800350877,0.4314138204609415,Q1 (lowest)
1,53,-57.7660159754386,0.44110477273191373,Q1 (lowest)
1,53.5,-57.70423709473684,0.4442308421970836,Q1 (lowest)
1,54,-57.53532685614035,0.4374333805913144,Q1 (lowest)
1,54.5,-57.43251799649123,0.4180582069694817,Q1 (lowest)
1,55,-57.31520396842105,0.4087655180901886,Q1 (lowest)
1,55.5,-57.22866473333333,0.4029499483977932,Q1 (lowest)
1,56,-57.0557411368421,0.41236833572081877,Q1 (lowest)
1,56.5,-56.918990863157894,0.42531958549345394,Q1 (lowest)
1,57,-56.69219885614035,0.4415152737625473,Q1 (lowest)
1,57.5,-56.52601778596491,0.4558437238865991,Q1 (lowest)
1,58,-56.31435382105263,0.46000854255468127,Q1 (lowest)
1,58.5,-56.034508063157894,0.4476267943533948,Q1 (lowest)
1,59,-55.72106894385965,0.4488830595923221,Q1 (lowest)
1,59.5,-55.514792484210524,0.4435760901294574,Q1 (lowest)
1,60,-55.34669949473684,0.4485161255056822,Q1 (lowest)
1,60.5,-55.15679315087719,0.452131721510577,Q1 (lowest)
1,61,-54.886525677192985,0.4436288079960545,Q1 (lowest)
1,61.5,-54.715377719298246,0.4312089220131009,Q1 (lowest)
1,62,-54.47332746666667,0.41483113229373814,Q1 (lowest)
1,62.5,-54.23484097894737,0.4106906276705403,Q1 (lowest)
1,63,-54.094438322807015,0.42087914885090877,Q1 (lowest)
1,63.5,-54.04956852982456,0.4359044472973523,Q1 (lowest)
1,64,-54.05296151929824,0.45376789425414954,Q1 (lowest)
1,64.5,-53.87231087017544,0.45316033031268016,Q1 (lowest)
1,65,-53.753300828070174,0.4115339666698768,Q1 (lowest)
1,65.5,-53.68120678596491,0.38604214501578227,Q1 (lowest)
1,66,-53.68167508070175,0.37365544934139877,Q1 (lowest)
1,66.5,-53.707187663157896,0.36258770070867324,Q1 (lowest)
1,67,-53.62417514385965,0.36696565646459445,Q1 (lowest)
1,67.5,-53.52440683157895,0.3554624461975327,Q1 (lowest)
1,68,-53.28073455789474,0.352229766918843,Q1 (lowest)
1,68.5,-53.16012635789474,0.35701496261129106,Q1 (lowest)
1,69,-53.067431133333336,0.35863256016917755,Q1 (lowest)
1,69.5,-52.89622616491228,0.3585562166406096,Q1 (lowest)
1,70,-52.882299378947366,0.3772100794452508,Q1 (lowest)
1,70.5,-52.72266834736842,0.379915673880192,Q1 (lowest)
1,71,-52.67542723859649,0.38766671881496695,Q1 (lowest)
1,71.5,-52.635905680701754,0.38989032049417943,Q1 (lowest)
1,72,-52.55609368070176,0.38325547216466266,Q1 (lowest)
1,72.5,-52.428979480701756,0.3740664155740354,Q1 (lowest)
1,73,-52.342423449122805,0.36723824140085437,Q1 (lowest)
1,73.5,-52.28008558245614,0.3699256107911767,Q1 (lowest)
1,74,-52.27205322105263,0.39008326036984187,Q1 (lowest)
1,74.5,-52.175482515789476,0.42240852871485396,Q1 (lowest)
1,75,-52.1593094877193,0.4251009053093853,Q1 (lowest)
1,75.5,-52.0310619754386,0.42482394824479147,Q1 (lowest)
1,76,-51.79611692631579,0.4114419514258315,Q1 (lowest)
1,76.5,-51.56981453684211,0.39845809461940507,Q1 (lowest)
1,77,-51.333366361403506,0.3902633426457482,Q1 (lowest)
1,77.5,-51.08905734736842,0.37430025711932113,Q1 (lowest)
1,78,-50.86972776842105,0.35945721729461794,Q1 (lowest)
1,78.5,-50.72335903508772,0.36048457524425587,Q1 (lowest)
1,79,-50.62640980350877,0.37099673906980773,Q1 (lowest)
1,79.5,-50.5593911754386,0.3716909732337771,Q1 (lowest)
1,80,-50.33331881754386,0.3785462459061149,Q1 (lowest)
1,80.5,-50.271607624561405,0.38648157203609645,Q1 (lowest)
1,81,-50.301806171929826,0.39127951584039833,Q1 (lowest)
1,81.5,-50.28418760701754,0.3844507667670875,Q1 (lowest)
1,82,-50.28654895087719,0.3875215418349549,Q1 (lowest)
1,82.5,-50.24848973333334,0.38449197773141686,Q1 (lowest)
1,83,-50.17575462807017,0.40234051354716155,Q1 (lowest)
1,83.5,-50.22893407719298,0.42985730371638114,Q1 (lowest)
1,84,-50.18902385614035,0.4218482273347627,Q1 (lowest)
1,84.5,-50.208274428070176,0.4102593738142955,Q1 (lowest)
1,85,-50.104504866666666,0.3922541027724331,Q1 (lowest)
1,85.5,-49.877894259649125,0.3877114531852547,Q1 (lowest)
1,86,-49.673231705263156,0.3795567454284868,Q1 (lowest)
1,86.5,-49.540347512280704,0.38786263069555627,Q1 (lowest)
